PointID,Station,Easting,Northing,Elevation,ElementID,ElementType,Description
P001,0.000,1000.000,500.000,25.000,E001,Tangent,Start Point
P002,100.000,1100.000,505.200,25.600,E001,Tangent,
P003,200.000,1200.000,520.800,26.300,E002,Circular Curve,PC
P004,300.000,1290.500,565.700,27.100,E002,Circular Curve,
P005,400.000,1372.800,630.400,28.000,E002,Circular Curve,PT
P006,500.000,1455.100,695.200,28.900,E003,Tangent,
P007,600.000,1555.000,710.300,29.500,E003,Tangent,
P008,700.000,1655.600,718.900,30.200,E004,Circular Curve,PC
P009,800.000,1732.400,772.100,30.900,E004,Circular Curve,
P010,900.000,1808.700,826.800,31.600,E004,Circular Curve,PT
P011,1000.000,1910.000,840.000,32.300,E005,Tangent,End Point
